,manufacturer,title,price
0,Harley Benton,DC-DLX Gotoh Pelham Bl B-Stock,£173
1,Harley Benton,Fusion-III HSS Roasted B-Stock,£277
2,Harley Benton,Fusion-III HSS Roasted B-Stock,£260
3,Harley Benton,Dullahan-FT 24 Roasted B-Stock,£299
4,Harley Benton,Fusion-T HH HT Roasted B-Stock,£359
5,Harley Benton,Victory Active SBK B-Stock,£160
6,Harley Benton,SC-DLX Gotoh Black B-Stock,£251
7,Harley Benton,SC-1000LH SBK Progr. B-Stock,£143
8,Solar Guitars,GC1.6FR Killertone Fla B-Stock,"£1,135"
9,Harley Benton,SC-DLX Gotoh Shell Pin B-Stock,£193
10,PRS,SE Pauls Guitar DC B-Stock,£799
11,Harley Benton,SC-DLX Gotoh Daphne Bl B-Stock,£216
12,Harley Benton,Fusion-III HSS Roasted B-Stock,£311
13,PRS,SE Silver Sky Stone Bl B-Stock,£811
14,Harley Benton,DC-DLX Gotoh Black B-Stock,£199
15,Harley Benton,SC-1000SBK Progressive B-Stock,£138
16,Chapman Guitars,ML2 Pro Azure Blue B-Stock,£922
17,Legator,N7FP Iris Fade B-Stock,£819
18,PRS,S2 McCarty SC594 FR B-Stock,"£1,777"
19,Schecter,Sun Valley Super Shred B-Stock,"£1,190"
20,Harley Benton,DC-DLX Gotoh Shell Pin B-Stock,£159
21,Harley Benton,DC-60 Junior Pelham Bl B-Stock,£138
22,Harley Benton,DC-LTD Gotoh Daphne Bl B-Stock,£160
23,Harley Benton,Fusion-III HSH Roasted B-Stock,£289
24,Harley Benton,Fusion-III HH HT Roast B-Stock,£277
25,Fender,AM Pro II Tele MN BTB B-Stock,"£1,485"
26,ESP,LTD EC-256 Black Satin B-Stock,£418
27,Schecter,C-1 Hellraiser FR BCH B-Stock,£915
28,PRS,SE Hollowbody II Piezo B-Stock,"£1,018"
29,Harley Benton,SC-Custom II FR Vint. B-Stock,£276
30,Fender,Jimi Hendrix Strat OWH B-Stock,£911
31,Jackson,DKR MAH Dinky MJ Serie B-Stock,"£1,379"
32,Harley Benton,Fusion-III HH EB PSP B-Stock,£221
33,Fender,Player Plus Strat HSS  B-Stock,£777
34,Harley Benton,DC-Junior FAT Benton B B-Stock,£138
35,Harley Benton,ST-20HSS SBK Standard  B-Stock,£71
36,ESP,LTD GH 600 BLK B-Stock,"£1,219"
37,Harley Benton,SC-200 BK Student Seri B-Stock,£80
38,Harley Benton,Fusion-III HH FR Roast B-Stock,£347
39,Harley Benton,SC-Special TV Yellow B-Stock,£169
40,Harley Benton,Fusion-T HH Roasted SW B-Stock,£358
